=== MATCH SCHEDULE FOR SATURDAY ===
04:00 PM - 04:30 PM | DXD17  | Court 8
04:00 PM - 04:30 PM | DXD18  | Court 9
04:30 PM - 05:00 PM | AMS5   | Court 1
04:30 PM - 05:00 PM | AMS6   | Court 2
04:30 PM - 05:00 PM | AMS7   | Court 4
04:30 PM - 05:00 PM | AMS8   | Court 5
04:30 PM - 05:00 PM | DXD19  | Court 10
04:30 PM - 05:00 PM | DXD20  | Court 11
04:30 PM - 05:00 PM | DXD21  | Court 12
04:30 PM - 05:00 PM | DXD22  | Court 3
04:30 PM - 05:00 PM | DXD23  | Court 6
04:30 PM - 05:00 PM | DXD24  | Court 7
04:30 PM - 05:00 PM | BXD5   | Court 8
04:30 PM - 05:00 PM | BXD6   | Court 9
05:00 PM - 05:30 PM | CDWS9  | Court 10
05:00 PM - 05:30 PM | CDWS12 | Court 11
05:00 PM - 05:30 PM | ABWS10 | Court 1
05:00 PM - 05:30 PM | ABWS11 | Court 2
05:00 PM - 05:30 PM | AXD11  | Court 4
05:00 PM - 05:30 PM | BXD9   | Court 3
05:00 PM - 05:30 PM | BXD10  | Court 6
05:00 PM - 05:30 PM | BXD12  | Court 7
05:00 PM - 05:30 PM | CMD57  | Court 12
05:00 PM - 05:30 PM | CMD58  | Court 8
05:00 PM - 05:30 PM | CMD59  | Court 9
05:00 PM - 05:30 PM | CMD60  | Court 5
05:30 PM - 06:00 PM | DMD57  | Court 10
05:30 PM - 06:00 PM | DMD58  | Court 11
05:30 PM - 06:00 PM | DMD59  | Court 12
05:30 PM - 06:00 PM | DMD60  | Court 3
05:30 PM - 06:00 PM | CDWS10 | Court 6
05:30 PM - 06:00 PM | CDWS11 | Court 7
05:30 PM - 06:00 PM | CMS25  | Court 8
05:30 PM - 06:00 PM | CMS26  | Court 9
05:30 PM - 06:00 PM | CMS27  | Court 1
05:30 PM - 06:00 PM | CMS28  | Court 2
05:30 PM - 06:00 PM | ABWS9  | Court 4
05:30 PM - 06:00 PM | ABWS12 | Court 5
06:00 PM - 06:30 PM | BMS25  | Court 3
06:00 PM - 06:30 PM | BMS26  | Court 6
06:00 PM - 06:30 PM | BMS27  | Court 7
06:00 PM - 06:30 PM | BMS28  | Court 8
06:00 PM - 06:30 PM | DMS57  | Court 10
06:00 PM - 06:30 PM | DMS58  | Court 11
06:00 PM - 06:30 PM | DMS59  | Court 12
06:00 PM - 06:30 PM | DMS60  | Court 9
06:00 PM - 06:30 PM | CXD25  | Court 1
06:00 PM - 06:30 PM | CXD26  | Court 2
06:00 PM - 06:30 PM | CXD27  | Court 4
06:00 PM - 06:30 PM | CXD28  | Court 5
06:30 PM - 07:00 PM | AXD9   | Court 1
06:30 PM - 07:00 PM | AXD10  | Court 2
06:30 PM - 07:00 PM | AXD12  | Court 4
06:30 PM - 07:00 PM | AMS9   | Court 5
06:30 PM - 07:00 PM | DXD25  | Court 10
06:30 PM - 07:00 PM | DXD26  | Court 11
06:30 PM - 07:00 PM | DXD27  | Court 12
06:30 PM - 07:00 PM | DXD28  | Court 3
06:30 PM - 07:00 PM | BXD11  | Court 6
06:30 PM - 07:00 PM | CMD61  | Court 7
06:30 PM - 07:00 PM | CMD62  | Court 8
06:30 PM - 07:00 PM | DMD61  | Court 9
07:00 PM - 07:30 PM | AMS10  | Court 1
07:00 PM - 07:30 PM | AMS11  | Court 2
07:00 PM - 07:30 PM | AMS12  | Court 4
07:00 PM - 07:30 PM | DMD62  | Court 10
07:00 PM - 07:30 PM | CDWS13 | Court 11
07:00 PM - 07:30 PM | CDWS14 | Court 12
07:00 PM - 07:30 PM | CMS29  | Court 3
07:00 PM - 07:30 PM | CMS30  | Court 6
07:00 PM - 07:30 PM | ABWS13 | Court 5
07:00 PM - 07:30 PM | BMS29  | Court 7
07:00 PM - 07:30 PM | BMS30  | Court 8
07:00 PM - 07:30 PM | DMS61  | Court 9
07:30 PM - 08:00 PM | ABWS14 | Court 1
07:30 PM - 08:00 PM | DMS62  | Court 10
07:30 PM - 08:00 PM | CXD29  | Court 11
07:30 PM - 08:00 PM | CXD30  | Court 12
07:30 PM - 08:00 PM | AXD13  | Court 2
07:30 PM - 08:00 PM | AXD14  | Court 4
07:30 PM - 08:00 PM | DXD29  | Court 3
07:30 PM - 08:00 PM | DXD30  | Court 6
07:30 PM - 08:00 PM | BXD13  | Court 7
07:30 PM - 08:00 PM | BXD14  | Court 8
07:30 PM - 08:00 PM | CMD63  | Court 9
08:00 PM - 08:30 PM | AMS13  | Court 1
08:00 PM - 08:30 PM | AMS14  | Court 2
08:00 PM - 08:30 PM | DMD63  | Court 10
08:00 PM - 08:30 PM | CDWS15 | Court 11
08:00 PM - 08:30 PM | CMS31  | Court 12
08:00 PM - 08:30 PM | BMS31  | Court 3
08:30 PM - 09:00 PM | ABWS15 | Court 1
08:30 PM - 09:00 PM | DMS63  | Court 10
08:30 PM - 09:00 PM | CXD31  | Court 11
08:30 PM - 09:00 PM | AXD15  | Court 2
08:30 PM - 09:00 PM | DXD31  | Court 12
08:30 PM - 09:00 PM | BXD15  | Court 3
09:00 PM - 09:30 PM | AMS15  | Court 1
